Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 50.00      0.01     0.01    25918     0.39     0.39  camlMoStack__tohexstr_1864
 50.00      0.02     0.01                             camlCore__Timing_wheel__entry
  0.00      0.02     0.00   148143     0.00     0.00  caml_output_value_to_block
  0.00      0.02     0.00    77791     0.00     0.00  camlCore__entry
  0.00      0.02     0.00    61764     0.00     0.00  intern_rec
  0.00      0.02     0.00    52338     0.00     0.00  camlMosynth__entry
  0.00      0.02     0.00    43757     0.00     0.00  camlMoStack__cmp_prev_1833
  0.00      0.02     0.00    41942     0.00     0.00  caml_gc_stat
  0.00      0.02     0.00    41625     0.00     0.00  caml_input_value_from_malloc
  0.00      0.02     0.00    30675     0.00     0.00  camlMoStack__init_random_strings_3005
  0.00      0.02     0.00    26496     0.00     0.00  camlFormat__pp_set_margin_1365
  0.00      0.02     0.00    24974     0.00     0.00  camlMoStack__run_3203
  0.00      0.02     0.00    23400     0.00     0.00  extern_replay_trail
  0.00      0.02     0.00    22157     0.00     0.00  camlMoGraph__f_5702
  0.00      0.02     0.00    16999     0.00     0.00  camlMoStack__visit_3084
  0.00      0.02     0.00    16944     0.00     0.00  caml_putblock
  0.00      0.02     0.00    16944     0.00     0.00  caml_refill
  0.00      0.02     0.00    16944     0.00     0.00  intern_alloc
  0.00      0.02     0.00    15557     0.00     0.00  caml_parse_engine
  0.00      0.02     0.00    15434     0.00     0.00  camlBytes__sub_1038
  0.00      0.02     0.00    10824     0.00     0.00  camlArg__entry
  0.00      0.02     0.00    10633     0.00     0.00  caml_apply11
  0.00      0.02     0.00     9751     0.00     0.00  camlSys__entry
  0.00      0.02     0.00     9353     0.00     0.00  caml_hash_mix_uint32
  0.00      0.02     0.00     6834     0.00     0.00  camlArg__add_help_1058
  0.00      0.02     0.00     6117     0.00     0.00  camlWeak__loop_1164
  0.00      0.02     0.00     5899     0.00     0.00  caml_apply12
  0.00      0.02     0.00     5552     0.00     0.00  camlCamlinternalLazy__entry
  0.00      0.02     0.00     4947     0.00     0.00  extern_value
  0.00      0.02     0.00     4316     0.00     0.00  camlCamlinternalFormat__entry
  0.00      0.02     0.00     4253     0.00     0.00  camlCamlinternalLazy__force_lazy_block_1010
  0.00      0.02     0.00     3523     0.00     0.00  caml_hash_mix_int64
  0.00      0.02     0.00     3523     0.00     0.00  hash_aux
  0.00      0.02     0.00     3426     0.00     0.00  camlFormat__formatter_of_out_channel_1426
  0.00      0.02     0.00     3426     0.00     0.00  camlFormat__pp_get_formatter_out_functions_1383
  0.00      0.02     0.00     3247     0.00     0.00  camlArg__stop_1085
  0.00      0.02     0.00     3246     0.00     0.00  camlCamlinternalFormat__parse_after_at_61793
  0.00      0.02     0.00     3053     0.00     0.00  _fini
  0.00      0.02     0.00     2816     0.00     0.00  camlFormat__pp_get_max_indent_1363
  0.00      0.02     0.00     2514     0.00     0.00  camlMap__equal_1314
  0.00      0.02     0.00     2389     0.00     0.00  camlCamlinternalFormat__parse_conversion_61792
  0.00      0.02     0.00     2366     0.00     0.00  camlArg__treat_action_1096
  0.00      0.02     0.00     2350     0.00     0.00  caml_output_value
  0.00      0.02     0.00     2235     0.00     4.47  camlBytes__blit_1061
  0.00      0.02     0.00     2215     0.00     0.00  camlPervasives__entry
  0.00      0.02     0.00     2142     0.00     0.00  camlObj__double_field_1019
  0.00      0.02     0.00     2141     0.00     0.00  camlObj__extension_slot_1050
  0.00      0.02     0.00     2071     0.00     0.00  camlArray__maxson_1109
  0.00      0.02     0.00     1697     0.00     0.00  camlBytes__iter_1073
